地名,センター（center.csvを使わない場合は空白化）,燃やすごみ,燃やさないごみ,資源物,木くず類
A地区（出し山町、野原町、城ノ内）,環境センター,月 水 金,火1 火3,木1 木3,土1 土3
B地区（中根台、藤ケ丘）,環境センター,月 水 金,火1 火3,木2　木4,土1 土3
C地区（根町、馴馬町中曽根、愛戸町、富士見、城下、緑町）,環境センター,月 水 金,火2 火4,木1 木3,土1 土3
D地区（長山、長山前）,環境センター,月 水 金,火2 火4,木2　木4,土1 土3

E地区（米町、姫宮町、水門、馴馬町上米）,環境センター,月 水 金,木1 木3,火1 火3,土1 土3
F地区（昭和、小通幸谷町、稗柄町、南中島南1・北1・2区、川崎町）,環境センター,月 水 金,木1 木3,火2 火4,土1 土3
G地区（北分間全域、新町、横町、田町、南が丘）,環境センター,月 水 金,木2 木4,火1 火3,土1 土3
H地区（佐貫１区～５区）,環境センター,月 水 金,木2 木4,火2 火4,土1 土3

I地区（川原代全域）,環境センター,火 木 土,水1 水3,金1 金3,月1 月3
J地区（浅間ケ浦、庄兵衛新田町、松葉）,環境センター,火 木 土,水1 水3,金2 金4,月1 月3
K地区（入地町馴馬町（上米・中曽根を除く）、平台、小柴）,環境センター,火 木 土,水2 水4,金1 金3,月1 月3
L地区（若柴1～3区、佐貫南・浦前・中・後佐貫、佐貫台、立羽）,環境センター,火 木 土,水2 水4,金2 金4,月1 月3

M地区（八原全域、長戸全域、白羽、中里）,環境センター,火 木 土,金1 金3,水1 水3,月1 月3
N地区（大宮全域）,環境センター,火 木 土,金1 金3,水2 水4,月1 月3
O地区（久保台、松ケ丘）,環境センター,火 木 土,金2 金4,水1 水3,月1 月3
P地区（砂町、上町、栄町、下町、高砂町、直鮒町),環境センター,火 木 土,金2 金4,水2 水4,月1 月3
